baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	4	Browns Summit	[u'Lot: 7,840 sqft', u'Single Family', u'Built in 2004', u'All time views: 2,906', u'Cooling: Other', u'Heating: Forced air, Other', u'Last sold: Sep 2013 for $134,000', u'Last sale price/sqft: $59', u'Great solar potentialSun Number\u2122:\xa075', u'Fireplace', u'Flooring: Carpet', u'Parking: Garage - Detached, 440 sqft garage', u'2 Car Garage', u'Eat-In Kitchen', u'Formal Living Room', u'Granite Counters', u'Great Room', u'Kitchen Island', u'Master Suite', u'Stainless Appliances', u'Dishwasher', u'Microwave', u'Refrigerator', u'Dining room', u'Laundry room', u'Pantry', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,288 sqft', u'Heating: Electric', u'Last remodel year: 2005', u'Parcel #: 0091048', u'Zillow Home ID: 71217569']	http://photos3.zillowstatic.com/p_e/ISx7kgby4pw6bl1000000000.jpg	134000.0	[]	2288.0	NC	143687.0	27214	71217569
4.0	4	Browns Summit	[u'Lot: 1.19 acres', u'Single Family', u'Built in 2005', u'All time views: 1,612', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Sep 2013 for $273,000', u'Last sale price/sqft: $83', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Garden', u'Jetted Tub', u'Parking: Garage - Attached, 484 sqft garage', u'Pool', u'Porch', u'Dishwasher', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,283 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 2005', u'Parcel #: 0130049', u'Zillow Home ID: 71219798']	http://photos1.zillowstatic.com/p_e/ISpp4mc0vfc4wd0000000000.jpg	273000.0	[]	3283.0	NC	340098.0	27214	71219798
3.0	4	Browns Summit	[u'Lot: 2.86 acres', u'Single Family', u'Built in 2002', u'All time views: 3,284', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Sep 2013 for $355,000', u'Last sale price/sqft: $100', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 648 sqft garage', u'View: Water', u'Waterfront', u'Gazebo at Lake Front', u'Central Vacuum', u'Heated ceramic Floors', u'TV built into M/B mirror', u'Stone Firepla', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 11', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,556 sqft', u'Heating: Electric', u'Last remodel year: 2003', u'Parcel #: 0128545', u'Zillow Home ID: 55372112']	http://photos3.zillowstatic.com/p_e/ISts1d3cufsn760000000000.jpg	355000.0	[]	3556.0	NC	386377.0	27214	55372112
3.0	3	Browns Summit	[u'Lot: 2 acres', u'Single Family', u'Built in 1987', u'All time views: 657', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Sep 2013 for $197,000', u'Last sale price/sqft: $106', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Garden', u'Parking: Garage - Attached, Garage - Detached, 576 sqft garage', u'Patio', u'Porch', u'Security System', u'Dishwasher', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Laundry room', u'Exterior material: Brick', u'Roof type: Other', u'Stories: 0', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,850 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 1995', u'Lot depth: 240 ft', u'Lot width: 364 ft', u'Parcel #: 0129518', u'Zillow Home ID: 5988868']	http://photos2.zillowstatic.com/p_e/ISt4bw1niq9yed0000000000.jpg	197000.0	[]	1850.0	NC	188209.0	27214	5988868
3.0	3	Browns Summit	[u'Lot: 0.76 acres', u'Single Family', u'Built in 1995', u'All time views: 1,088', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Sep 2013 for $176,500', u'Last sale price/sqft: $87', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 576 sqft garage', u'Porch', u'Dishwasher', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,018 sqft', u'Heating: Propane butane', u'Last remodel year: 1995', u'Lot depth: 166 ft', u'Lot width: 166 ft', u'Parcel #: 0128079', u'Zillow Home ID: 5988081']	http://photos1.zillowstatic.com/p_e/ISd442km9pkrf71000000000.jpg	176500.0	[]	2018.0	NC	172533.0	27214	5988081
3.0	4	Browns Summit	[u'Lot: 0.69 acres', u'Single Family', u'Built in 2013', u'All time views: 914', u'HOA Fee: $66/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Sep 2013 for $317,000', u'Last sale price/sqft: $126', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 460 sqft garage', u'Pool', u'Porch', u'Dishwasher', u'Microwave', u'Breakfast nook', u'Dining room', u'Laundry room', u'Sun room', u'Exterior material: Brick', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,518 sqft', u'Heating: Electric, Gas', u'Last remodel year: 2013', u'Lot depth: 199 ft', u'Lot width: 199 ft', u'Parcel #: 0130430', u'Zillow Home ID: 82674993']	http://photos3.zillowstatic.com/p_e/IS9x7t8qsvmbwf1000000000.jpg	317000.0	[]	2518.0	NC	338158.0	27214	82674993
2.0	3	Browns Summit	[u'Lot: 0.62 acres', u'Single Family', u'Built in 1962', u'15 days on Zillow', u'Views since listing: 292', u'All time views: 631', u'2 shoppers saved this home', u'Cooling: Central', u'Last sold: Sep 2013 for $110,000', u'Last sale price/sqft: $71', u'Auction.com', u'Flooring: Hardwood, Linoleum / Vinyl, Tile', u'Dishwasher', u'Range / Oven', u'Breakfast nook', u'Exterior material: Brick', u'Roof type: Other', u'Stories: 0', u'Structure type: Ranch', u'Floor size: 1,555 sqft', u'Heating: Gas', u'Parcel #: 0084071', u'Zillow Home ID: 71220116']	http://photos3.zillowstatic.com/p_e/IS2r12c7ou38kf1000000000.jpg	110000.0	[]	1555.0	NC	106557.0	27214	71220116
3.0	3	Browns Summit	[u'Lot: 0.67 acres', u'Single Family', u'Built in 2010', u'All time views: 1,073', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2013 for $256,000', u'Last sale price/sqft: $112', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached, 736 sqft garage', u'Pool', u'Porch', u'Sprinkler System', u'Dishwasher', u'Microwave', u'Breakfast nook', u'Dining room', u'Exterior material: Brick, Stone', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,294 sqft', u'Heating: Gas', u'Last remodel year: 2010', u'Lot depth: 119 ft', u'Lot width: 119 ft', u'Parcel #: 0130420', u'Zillow Home ID: 82675866']	http://photos2.zillowstatic.com/p_e/IS1rlxxk4bg9fg1000000000.jpg	256000.0	[]	2294.0	NC	300454.0	27214	82675866
2.5	4	Browns Summit	[u'Lot: 7,840 sqft', u'Single Family', u'Built in 2001', u'All time views: 6,320', u'Cooling: Other', u'Heating: Forced air, Other', u'Last sold: Aug 2013 for $120,000', u'Last sale price/sqft: $71', u'Limited solar potentialSun Number\u2122:\xa047', u'Fireplace', u'Flooring: Carpet', u'Parking: Garage - Detached, 190 sqft garage', u'1 Car Garage', u'Breakfast Bar', u'Eat-In Kitchen', u'Great Room', u'Master Suite', u'Neutral Carpet', u'Open Floor Plan', u'Dishwasher', u'Refrigerator', u'Laundry room', u'Pantry', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,700 sqft', u'Heating: Electric', u'Last remodel year: 2001', u'Parcel #: 0070686', u'Zillow Home ID: 55369769']	http://photos3.zillowstatic.com/p_e/IS91fhfym805ae0000000000.jpg	120000.0	[]	1700.0	NC	116034.0	27214	55369769
2.0	3	Browns Summit	[u'Lot: 0.86 acres', u'Single Family', u'Built in 2013', u'All time views: 1,566', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2013 for $225,000', u'Last sale price/sqft: $105', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 400 sqft garage', u'Porch', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Exterior material: Brick, Vinyl', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,150 sqft', u'Heating: Gas', u'Last remodel year: 2013', u'Lot depth: 80 ft', u'Lot width: 80 ft', u'Parcel #: 0128784', u'Zillow Home ID: 82671136']	http://photos3.zillowstatic.com/p_e/ISt0879so9criz0000000000.jpg	225000.0	[]	2150.0	NC	247217.0	27214	82671136
2.0	3	Browns Summit	[u'Lot: 0.96 acres', u'Single Family', u'Built in 2012', u'All time views: 1,100', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $260,000', u'Last sale price/sqft: $123', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Garden', u'Parking: Garage - Attached, 440 sqft garage', u'Association: Greensboro', u'Built Information: Existing', u'Status: Pending', u'Dead Bolt(s)', u'Dryer Connection', u'Pantry', u'Separate Shower', u'Solid Surface Counter', u'Insulated Windows', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Sewer: Septic', u'Insulated Doors', u'Style: Transitional', u'Typeof Sale: Owner Sale', u'Water: Well', u'Story Number: 1.5', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Smoke Alarm', u'Fenced', u'HOA Fee Paid 1: Annual', u'Remarks', u'Elementary School: Monticello-Brown Summit', u'Exterior Finish: Brick', u'Property Sub Type: Site Built', u'Dishwasher', u'Microwave', u'Exterior material: Vinyl', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,106 sqft', u'Heating: Electric', u'Last remodel year: 2012', u'Lot depth: 40 ft', u'Lot width: 40 ft', u'Parcel #: 0128783', u'Zillow Home ID: 82675714']	http://photos1.zillowstatic.com/p_e/ISp9gss0ykl13g1000000000.jpg	260000.0	[]	2106.0	NC	265524.0	27214	82675714
2.0	3	Browns Summit	[u'Lot: 2.54 acres', u'Single Family', u'Built in 2001', u'All time views: 2,271', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $290,000', u'Last sale price/sqft: $137', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood', u'Parking: Garage - Attached, 841 sqft garage', u'Porch', u'Built Information: Existing', u'Paved Drive', u'Association: Winston-Salem', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Dryer Connection', u'Garage Door Opener(s)', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Water: Well', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Story Number: 1', u'Style: Ranch', u'HOA Fee Paid 1: Quarterly', u'Elementary School: Monticello-Brown Summit', u'Exterior Finish: Brick', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,110 sqft', u'Heating: Gas, Propane butane', u'Last remodel year: 2001', u'Parcel #: 0128505', u'Zillow Home ID: 55372106']	http://photos1.zillowstatic.com/p_e/IS1fordzrkfcwn1000000000.jpg	290000.0	[]	2110.0	NC	330196.0	27214	55372106
2.0	3	Browns Summit	[u'Lot: 0.89 acres', u'Single Family', u'Built in 1959', u'All time views: 3,795', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $147,000', u'Last sale price/sqft: $105', u'Attic', u'Barbecue', u'Basketball Court', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl', u'Garden', u'Lawn', u'Parking: Off street', u'Security System', u'View: Territorial', u'Association: Greensboro', u'Built Information: Existing', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Dead Bolt(s)', u'Dryer Connection', u'Pantry', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Sewer: Septic', u'Miscellaneous: Horses Allowed', u'Water: Well', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Smoke Alarm', u'Story Number: 1', u'Style: Ranch', u'Typeof Sale: Bank', u'Elementary School: Monticello-Brown Summit', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Sun room', u'Workshop', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,400 sqft', u'Heating: Oil', u'Last remodel year: 2016', u'Lot depth: 208 ft', u'Lot width: 208 ft', u'Parcel #: 0128582', u'Zillow Home ID: 5988349']	http://photos1.zillowstatic.com/p_e/IS1vkzpo5pbtmq1000000000.jpg	147000.0	[]	1400.0	NC	147546.0	27214	5988349
2.0	3	Browns Summit	[u'Lot: 1.55 acres', u'Single Family', u'Built in 2006', u'All time views: 1,394', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $182,900', u'Last sale price/sqft: $119', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Carport, Garage - Attached, 6 spaces, 441 sqft garage', u'Porch', u'Vaulted Ceiling', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,531 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 2006', u'Parcel #: 0100867', u'Zillow Home ID: 71216980']	http://photos1.zillowstatic.com/p_e/IS9dw2p58otl691000000000.jpg	182900.0	[]	1531.0	NC	182638.0	27214	71216980
2.5	3	Browns Summit	[u'Baths: 2 full, 1 half', u'Lot: 0.44 acres', u'Single Family', u'Built in 1972', u'All time views: 3,026', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $118,000', u'Last sale price/sqft: $87', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Porch', u'Association: Greensboro', u'Built Information: Existing', u'Paved Drive', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Dead Bolt(s)', u'Dryer Connection', u'Garage Description: None', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Lot Description: Level', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Smoke Alarm', u'Story Number: 1', u'Style: Ranch', u'Water: Subdivision', u'Elementary School: Monticello-Brown Summit', u'Exterior Finish: Brick', u'Property Sub Type: Site Built', u'Dishwasher', u'Microwave', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,350 sqft', u'Heating: Electric', u'Last remodel year: 1985', u'Lot depth: 200 ft', u'Lot width: 103 ft', u'Parcel #: 0128285', u'Zillow Home ID: 5988193']	http://photos1.zillowstatic.com/p_e/ISxj9gp42q4ncx0000000000.jpg	118000.0	[]	1350.0	NC	110354.0	27214	5988193
2.0	3	Browns Summit	[u'Lot: 0.57 acres', u'Single Family', u'Built in 2015', u'All time views: 2,137', u'HOA Fee: $66/mo', u'Last sold: Aug 2016 for $263,000', u'Last sale price/sqft: $129', u'Floor size: 2,038 sqft', u'Parcel #: 176622', u'Zillow Home ID: 120875479']	http://photos2.zillowstatic.com/p_e/IStwc4bmm294q50000000000.jpg	263000.0	[]	2038.0	NC	232911.0	27214	120875479
4.0	4	Browns Summit	[u'Baths: 2 full, 2 half', u'Lot: 0.72 acres', u'Single Family', u'Built in 2010', u'All time views: 4,368', u'HOA Fee: $66/mo', u'Cooling: Central', u'Heating: Other', u'Last sold: Jul 2016 for $350,000', u'Last sale price/sqft: $127', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Fitness Center', u'Flooring: Tile', u'Lawn', u'Parking: Garage - Attached, Off street, 3 spaces, 986 sqft garage', u'Pool', u'Porch', u'Security System', u'Sprinkler System', u'Vaulted Ceiling', u'Wired', u'Sewer: Septic', u'Lot Description: Level', u'Area Amenities: Area Pool', u'Basement: Crawl Space', u'Lot Description: Open', u'Fencing: Fenced Yard', u'Water: Municipal Water', u'Dishwasher', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,763 sqft', u'Heating: Electric, Gas', u'Last remodel year: 2010', u'Lot width: 360 ft', u'Parcel #: 0128836', u'Zillow Home ID: 89692564']	http://photos3.zillowstatic.com/p_e/IS-1hbwu0rfu3yvx.jpg	350000.0	[]	2763.0	NC	342360.0	27214	89692564
2.5	4	Browns Summit	[u'Baths: 2 full, 1 half', u'Lot: 6,098 sqft', u'Single Family', u'Built in 2007', u'All time views: 2,084', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $145,000', u'Last sale price/sqft: $64', u'Great solar potentialSun Number\u2122:\xa075', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Parking: Garage - Attached, 400 sqft garage', u'Patio', u'Porch', u'Association: Greensboro', u'Built Information: Existing', u'Paved Drive', u'Neighborhood Pool', u'HOA Fee Paid 1: Monthly', u'Status: Pending', u'Water: Public', u'Dead Bolt(s)', u'Dryer Connection', u'Garage Door Opener(s)', u'Pantry', u'Solid Surface Counter', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Story Number: 2', u'Typeof Sale: Owner Sale', u'Water Heater: Electric', u'Kitchen Island', u'Privacy Fence', u'Garden Tub', u'Sewer: Public', u'Lot Description: Fence(s)', u'Laundry Room - 2nd Level', u'Elementary School: Ronald E McNair', u'Property Sub Type: Site Built', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 2,260 sqft', u'Heating: Electric', u'Last remodel year: 2007', u'Lot depth: 125 ft', u'Lot width: 53 ft', u'Parcel #: 0092371', u'Zillow Home ID: 88948425']	http://photos1.zillowstatic.com/p_e/ISlm7z4yu5zczv1000000000.jpg	145000.0	[]	2260.0	NC	144793.0	27214	88948425
3.0	4	Browns Summit	[u'Lot: 1 acre', u'Single Family', u'Built in 2005', u'All time views: 1,180', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $604,000', u'Last sale price/sqft: $139', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Garden', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, Garage - Detached, 3 spaces, 769 sqft garage', u'Patio', u'Porch', u'Security System', u'Skylight', u'Vaulted Ceiling', u'Wet Bar', u'Wired', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick, Stone', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Contemporary', u'Unit count: 1', u'Floor size: 4,353 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 2005', u'Parcel #: 0125369', u'Zillow Home ID: 5985876']	http://photos2.zillowstatic.com/p_e/ISpxe3fsrstq2t0000000000.jpg	604000.0	[]	4353.0	NC	483150.0	27214	5985876
3.5	4	Browns Summit	[u'Lot: 0.75 acres', u'Single Family', u'Built in 2011', u'All time views: 284', u'Last sold: Jun 2016 for $310,000', u'Last sale price/sqft: $111', u'Fireplace', u'Floor size: 2,800 sqft', u'Lot width: 50 ft', u'Parcel #: 0128831', u'Zillow Home ID: 89697303']	http://photos2.zillowstatic.com/p_e/ISdh0o3okr461v.jpg	310000.0	[]	2800.0	NC	269298.0	27214	89697303
